Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
The Damned United,449865,4054204,,6400000,9-Oct-09,R,97,Sony Pictures Classics,Based on Factual Book/Article,Drama,Dramatization,Tom Hooper,94,7.5,7560
The Tale of Despereaux,50877145,88717945,26233404,60000000,19-Dec-08,G,93,Universal,Based on Book/Short Story,Adventure,Kids Fiction,Sam Fell,55,6.1,7460
Tea with Mussolini,14395874,14395874,,14000000,14-May-99,PG,116,MGM,Based on Real Life Events,Drama,Dramatization,Franco Zeffirelli,67,6.7,5435
Tears of the Sun,43632458,85632458,,75000000,7-Mar-03,R,121,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Antoine Fuqua,34,6.4,34304
Transformers,319246193,708272592,290787166,151000000,3-Jul-07,PG-13,140,Paramount Pictures,Based on TV,Action,Science Fiction,Michael Bay,57,7.3,197131
Transformers: Revenge of the Fallen,402111870,836303693,217509899,210000000,24-Jun-09,PG-13,149,Paramount Pictures,Based on TV,Action,Science Fiction,Michael Bay,20,6,95786
The Beach,39778599,39778599,,50000000,11-Feb-00,R,119,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,Danny Boyle,19,4.5,229
The Fog,29511112,37048526,,18000000,14-Oct-05,PG-13,101,Sony Pictures,Remake,Horror,Contemporary Fiction,Rupert Wainwright,5,3.3,15760
The Thin Red Line,36400491,36400491,,52000000,23-Dec-98,R,166,20th Century Fox,Based on Book/Short Story,Drama,Dramatization,Terrence Malick,78,7.5,60966
Thirteen Days,34566746,66554547,,80000000,25-Dec-00,PG-13,145,New Line,Based on Real Life Events,Drama,Dramatization,Roger Donaldson,82,7.3,23578
The Kid,69688384,69688384,,65000000,7-Jul-00,PG,104,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Jon Turteltaub,49,5.9,14927
House on Haunted Hill,40846082,40846082,,19000000,29-Oct-99,R,96,Warner Bros.,Original Screenplay,Horror,Contemporary Fiction,William Malone,25,5.2,22795
The One,43905746,43905746,,49000000,2-Nov-01,PG-13,87,Sony Pictures,Original Screenplay,Action,Science Fiction,James Wong,13,5.6,24416
The 13th Warrior,32698899,61698899,,125000000,27-Aug-99,R,103,Walt Disney Pictures,Based on Book/Short Story,Action,Fantasy,John McTiernan,33,6.3,36151
Titan A.E.,22751979,36751979,,75000000,16-Jun-00,PG,95,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Don Bluth,51,6.4,22286
Titanic,600788188,1842879955,,200000000,19-Dec-97,PG-13,194,Paramount Pictures,Original Screenplay,Thriller/Suspense,Historical Fiction,James Cameron,82,7.4,240732
The League of Extraordinary Gentlemen,66465204,179265204,,78000000,11-Jul-03,PG-13,110,20th Century Fox,Based on Comic/Graphic Novel,Adventure,Super Hero,Stephen Norrington,17,5.5,50710
The Mist,25593755,54777490,29059367,13000000,21-Nov-07,R,127,MGM,Based on Book/Short Story,Horror,Science Fiction,Frank Darabont,73,7.4,76830
Tomorrow Never Dies,125304276,339504276,,110000000,19-Dec-97,PG-13,119,MGM,Based on Book/Short Story,Action,Contemporary Fiction,Roger Spottiswoode,55,6.4,46650
The Royal Tenenbaums,52353636,71430876,,28000000,14-Dec-01,R,110,Walt Disney Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,Wes Anderson,79,7.6,82349
The Day After Tomorrow,186740799,544272402,,125000000,28-May-04,PG-13,124,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Roland Emmerich,46,6.3,92241
The Town,30980607,33180607,,37000000,17-Sep-10,R,123,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Ben Affleck,84,8.7,493
Toy Story 2,245852179,484966906,,90000000,19-Nov-99,G,92,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,John Lasseter,100,8,119357
Traffic,124107476,208300000,,48000000,27-Dec-00,R,147,USA Films,Based on TV,Drama,Contemporary Fiction,Steven Soderbergh,91,7.8,85759
Training Day,76261036,104505362,,45000000,5-Oct-01,R,122,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,Antoine Fuqua,72,7.6,82057
The Ring,129094024,249094024,,48000000,18-Oct-02,PG-13,115,Dreamworks SKG,Remake,Horror,Contemporary Fiction,Gore Verbinski,71,5.5,589
The Terminal,77073959,218673959,,75000000,18-Jun-04,PG-13,128,Dreamworks SKG,Based on Real Life Events,Drama,Dramatization,Steven Spielberg,60,7.1,79803
The Transporter,25296447,43928932,,21000000,11-Oct-02,PG-13,92,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Corey Yuen,53,6.6,51005
Tropic Thunder,110461307,188163455,50387300,90000000,13-Aug-08,R,106,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ben Stiller,83,7.2,104839
Troy,133298577,497398577,,150000000,14-May-04,R,163,Warner Bros.,Based on Book/Short Story,Action,Historical Fiction,Wolfgang Petersen,54,7,129575
xXx,141930000,267200000,,70000000,9-Aug-02,PG-13,124,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Rob Cohen,48,5.5,52636
The Truman Show,125618201,248400000,,60000000,5-Jun-98,PG,102,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Peter Weir,95,8,156346
Tarzan,171091819,448191819,,145000000,16-Jun-99,G,88,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Kevin Lima,88,6.9,26871
Twisted,25195050,40119848,,50000000,27-Feb-04,R,97,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Philip Kaufman,2,4.8,83
Twilight,192769854,396439854,193591463,37000000,21-Nov-08,PG-13,120,Summit Entertainment,Based on Book/Short Story,Drama,Fantasy,Catherine Hardwicke,50,6.1,4840
U-571,77086030,127630030,,62000000,21-Apr-00,PG-13,116,Universal,Original Screenplay,Action,Historical Fiction,Jonathan Mostow,68,6.4,32528
Undercover Brother,38230435,38230435,,25000000,31-May-02,PG-13,86,Universal,Original Screenplay,Comedy,Contemporary Fiction,Malcolm D. Lee,76,5.7,14237
Unbreakable,94999143,248099143,,73243106,22-Nov-00,PG-13,107,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Super Hero,M. Night Shyamalan,68,7.3,97324
Underworld,51970690,95708457,,22000000,19-Sep-03,R,121,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Len Wiseman,30,6.7,65690
Unfaithful,52752475,119114494,,50000000,8-May-02,R,123,20th Century Fox,Remake,Drama,Contemporary Fiction,Adrian Lyne,48,6.6,23998
Up,293004164,731304609,178459329,175000000,29-May-09,PG,96,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Pete Docter,98,8.4,110491
Valkyrie,83077470,198686497,26715008,75000000,25-Dec-08,PG-13,120,United Artists,Based on Real Life Events,Thriller/Suspense,Dramatization,Bryan Singer,61,7.3,54343
The Legend of Bagger Vance,30695227,39235486,,60000000,3-Nov-00,PG-13,126,Dreamworks SKG,Based on Book/Short Story,Drama,Historical Fiction,Robert Redford,43,6.4,21995
In the Valley of Elah,6777741,24489150,3182650,23000000,14-Sep-07,R,120,Warner Bros.,Based on Real Life Events,Drama,Dramatization,Paul Haggis,73,7.4,27529
Van Helsing,120150546,300150546,,170000000,7-May-04,PG-13,132,Universal,Original Screenplay,Action,Historical Fiction,Stephen Sommers,22,5.5,68846
The Village,114197520,260197520,,71682975,30-Jul-04,PG-13,108,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,M. Night Shyamalan,42,6.6,88928
Vertical Limit,68473360,213500000,,75000000,8-Dec-00,PG-13,124,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Martin Campbell,47,5.6,24294
Vampires,20268825,20268825,,20000000,30-Oct-98,R,108,Sony Pictures,Based on Book/Short Story,Horror,Fantasy,John Carpenter,33,6.8,54
